amfi_code,scheme_name,fund_house,category,Annual Return,Annual Volatility,Sharpe Ratio,Rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,0.27056620166916845,0.1419370675462035,1.4482911703262598,1
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,0.2726022383393478,0.1588698652360926,1.3067439695428409,2
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,0.28326161538880446,0.17674006691346694,1.2349300257743294,3
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,0.2310331546138718,0.13741434141879644,1.2082665673727175,4
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,0.2926527249840709,0.19290949406318195,1.1801011976606492,5
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,0.26590814851467,0.17746159397550842,1.1321218524747243,6
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,0.27211056847152365,0.18936710835214166,1.093698743534631,7
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,0.21803695132499992,0.14148352294996655,1.0816591793457042,8
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,0.2146466240023027,0.14568212847454326,1.0272133278753695,9
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,0.21244769573283434,0.14363780566736659,1.0265242847993001,10
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,0.25872785977673984,0.1940711742333472,0.9982309868636413,11
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,0.197881133444817,0.13939367612717501,0.9532794968660104,12
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,0.300931229977172,0.24840205005242097,0.9497958246616031,13
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,0.30265596572351255,0.25140578624384674,0.9453082575156095,14
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,0.20791821293359272,0.15429144469823297,0.9262873467360144,15
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,0.16988800557692826,0.1283662839786056,0.8170993373494367,16
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,0.1757940429247065,0.1388443751311979,0.7979728586052847,17
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,0.17879963802436752,0.14668866752399518,0.7757902498211205,18
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,0.15131944040863557,0.12983158874316306,0.664856998549062,19
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,0.16382758819055004,0.15230516379673067,0.6488787755249532,20
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,0.15531106361835714,0.13997213649186155,0.6452074382933215,21
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,0.1626258549662886,0.15758366917912994,0.6195175900829828,22
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,0.0674484404275901,0.0049391262595120155,0.4957233929533123,23
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,0.1315478451977995,0.13463795800784448,0.4942725378672349,24
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,0.13160728496649923,0.14353859818510503,0.46403744922047774,25
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,0.1781915642892773,0.2524152094634046,0.44843400890899127,26
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,0.12016959264353062,0.18352430087335778,0.30061192104254786,27
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,0.1069621227736075,0.2579732221707774,0.16266076928646772,28
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,0.08312437838149542,0.13983295593638856,0.12961449795669328,29
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,0.07859995621336482,0.17894715006571874,0.07599984804658923,30
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,0.06929469030104402,0.13950661341123835,0.03078485095458594,31
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,0.0507318653023297,0.24950125122855862,-0.05718662582817995,32
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,0.04595602382589967,0.2506658023260044,-0.0759735711747892,33
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,0.06454444499823224,0.005133170487371137,-0.08874729621557288,34
