amfi_code,scheme_name,fund_house,category,Annual Return,Annual Downside Risk,Sortino Ratio,Rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,0.27056620166916845,0.08616799887021052,2.3856443733688186,1
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,0.2726022383393478,0.08780631873642598,2.3643200321667184,2
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,0.28326161538880446,0.10166295570138449,2.146913926346055,3
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,0.2310331546138718,0.07757590272699,2.140267129061793,4
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,0.2926527249840709,0.11217995669684915,2.0293529404657464,5
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,0.26590814851467,0.10714523733176573,1.8751010639192083,6
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,0.21803695132499992,0.08271674998912054,1.850132546855726,7
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,0.27211056847152365,0.11322875898057062,1.8291339615146942,8
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,0.21244769573283434,0.0816751800813689,1.8052937940992548,9
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,0.2146466240023027,0.08315720784547669,1.799562874698452,10
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,0.25872785977673984,0.11370357218085252,1.7037974802463003,11
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,0.30265596572351255,0.14185734802451813,1.6753165700125519,12
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,0.20791821293359272,0.08753269187849354,1.632740977873516,13
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,0.300931229977172,0.14565515733818332,1.6197931764914093,14
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,0.197881133444817,0.0825463250960379,1.609776489628308,15
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,0.16988800557692826,0.07305491141338037,1.4357420130649492,16
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,0.1757940429247065,0.08280923066063352,1.3379431500669237,17
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,0.17879963802436752,0.08552176122236871,1.3306512447571364,18
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,0.15531106361835714,0.0782269062003422,1.154475716923624,19
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,0.15131944040863557,0.07585343266171603,1.137976718780742,20
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,0.16382758819055004,0.09017978330852094,1.0958951614736467,21
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,0.1626258549662886,0.08966740219556739,1.0887552508030016,22
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,0.0674484404275901,0.0023271408138066385,1.0521238822609291,23
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,0.1315478451977995,0.07715031298268794,0.8625738849916581,24
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,0.13160728496649923,0.08739635454822768,0.7621288703723166,25
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,0.1781915642892773,0.15172834366505497,0.7460146308533572,26
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,0.12016959264353062,0.10842807119958986,0.5088128197169232,27
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,0.1069621227736075,0.15168286200797326,0.27664379626092334,28
